,regionc,region,year,cpi
0,KG,1,2010,1.0
1,KG,1,2011,1.166
2,KG,1,2012,1.198648
3,KG,1,2013,1.277758768
4,KG,1,2014,1.373590676
5,KG,1,2015,1.46287407
6,KG,1,2016,1.468725566
7,KG,1,2017,1.515724784
8,KG,1,2018,1.538460656
9,KG,1,2019,1.555383723
10,KG,1,2020,1.653372897
11,KG,1,2021,1.850124272
12,BT,5,2010,1.0
13,BT,5,2011,1.21
14,BT,5,2012,1.331
15,BT,5,2013,1.392226
16,BT,5,2014,1.509172984
17,BT,5,2015,1.604250882
18,BT,5,2016,1.607459384
19,BT,5,2017,1.673365218
20,BT,5,2018,1.676711949
21,BT,5,2019,1.718629748
22,BT,5,2020,1.854401498
23,BT,5,2021,2.097328094
24,JAL,3,2010,1.0
25,JAL,3,2011,1.185
26,JAL,3,2012,1.264395
27,JAL,3,2013,1.37313297
28,JAL,3,2014,1.526923863
29,JAL,3,2015,1.601743132
30,JAL,3,2016,1.61615882
31,JAL,3,2017,1.688885967
32,JAL,3,2018,1.710841485
33,JAL,3,2019,1.738214948
34,JAL,3,2020,1.84424606
35,JAL,3,2021,2.113505985
36,YS,2,2010,1.0
37,YS,2,2011,1.16
38,YS,2,2012,1.16348
39,YS,2,2013,1.2449236
40,YS,2,2014,1.373150731
41,YS,2,2015,1.470644433
42,YS,2,2016,1.488292166
43,YS,2,2017,1.555265313
44,YS,2,2018,1.591036416
45,YS,2,2019,1.637176472
46,YS,2,2020,1.738681413
47,YS,2,2021,1.929936368
48,NR,4,2010,1.0
49,NR,4,2011,1.244
50,NR,4,2012,1.321128
51,NR,4,2013,1.412285832
52,NR,4,2014,1.504084411
53,NR,4,2015,1.637947924
54,NR,4,2016,1.670706882
55,NR,4,2017,1.747559399
56,NR,4,2018,1.803481299
57,NR,4,2019,1.839550925
58,NR,4,2020,1.955442634
59,NR,4,2021,2.219427389
60,OSH,6,2010,1.0
61,OSH,6,2011,1.208
62,OSH,6,2012,1.2684
63,OSH,6,2013,1.376214
64,OSH,6,2014,1.505578116
65,OSH,6,2015,1.600429537
66,OSH,6,2016,1.606831255
67,OSH,6,2017,1.719309443
68,OSH,6,2018,1.843099723
69,OSH,6,2019,1.86706002
70,OSH,6,2020,1.966014201
71,OSH,6,2021,2.178343734
72,TLS,7,2010,1.0
73,TLS,7,2011,1.169
74,TLS,7,2012,1.218098
75,TLS,7,2013,1.274130508
76,TLS,7,2014,1.413010733
77,TLS,7,2015,1.516160517
78,TLS,7,2016,1.469159541
79,TLS,7,2017,1.529395082
80,TLS,7,2018,1.553865403
81,TLS,7,2019,1.566296327
82,TLS,7,2020,1.693166329
83,TLS,7,2021,1.896346289
84,CH,8,2010,1.0
85,CH,8,2011,1.165
86,CH,8,2012,1.19529
87,CH,8,2013,1.27656972
88,CH,8,2014,1.419545529
89,CH,8,2015,1.538787353
90,CH,8,2016,1.581873399
91,CH,8,2017,1.627747728
92,CH,8,2018,1.653791691
93,CH,8,2019,1.663714441
94,CH,8,2020,1.763537308
95,CH,8,2021,1.99103362
96,BSK,11,2010,1.0
97,BSK,11,2011,1.149
98,BSK,11,2012,1.165086
99,BSK,11,2013,1.236156246
100,BSK,11,2014,1.30414484
101,BSK,11,2015,1.38500182
102,BSK,11,2016,1.383616818
103,BSK,11,2017,1.40852192
104,BSK,11,2018,1.418381574
105,BSK,11,2019,1.431147008
106,BSK,11,2020,1.529896152
107,BSK,11,2021,1.710423898
108,OSC,21,2010,1.0
109,OSC,21,2011,1.208
110,OSC,21,2012,1.2684
111,OSC,21,2013,1.376214
112,OSC,21,2014,1.505578116
113,OSC,21,2015,1.600429537
114,OSC,21,2016,1.606831255
115,OSC,21,2017,1.698420637
116,OSC,21,2018,1.744277994
117,OSC,21,2019,1.759976496
118,OSC,21,2020,1.826855603
119,OSC,21,2021,2.018675441
